freq,indic_is,ind_type,unit,geo\TIME_PERIOD	2015 	2016 	2017 	2019 
A,I_DSK_BAB,IND_TOTAL,PC_IND,NL	72 	77 	79 	79 
A,I_DSK_BAB,IND_TOTAL,PC_IND,PL	40 	44 	46 	44 
