new_cases_per_million_nl,new_deaths_per_million_nl,new_cases_per_million_pl,new_deaths_per_million_pl,NL_retail_and_recreation,NL_grocery_and_pharmacy,NL_parks,NL_transit,NL_workplaces,NL_residential,PL_retail_and_recreation,PL_grocery_and_pharmacy,PL_parks,PL_transit,PL_workplaces,PL_residential
50.729,7.914,7.853,0.627,-34.0,-10.0,63.0,-56.0,-44.0,15.0,-47.0,-26.0,11.0,-55.0,-39.0,16.0
46.003,7.06,8.581,0.703,-35.0,-6.0,64.0,-56.0,-47.0,16.0,-45.0,-21.0,29.0,-53.0,-39.0,15.0
37.292,6.377,9.559,1.004,-36.0,-5.0,47.0,-56.0,-44.0,16.0,-46.0,-20.0,5.0,-54.0,-38.0,15.0
37.292,6.832,9.559,0.753,-41.0,-6.0,20.0,-51.0,-18.0,10.0,-61.0,-27.0,-15.0,-52.0,-22.0,10.0
22.831,3.815,8.631,0.276,-43.0,-6.0,62.0,-46.0,-19.0,7.0,-54.0,73.0,10.0,-53.0,-14.0,7.0
9.736,2.448,7.151,0.677,-34.0,-19.0,107.0,-63.0,-79.0,22.0,-40.0,-27.0,22.0,-53.0,-36.0,14.0
22.034,2.733,7.928,0.853,-35.0,-7.0,-3.0,-63.0,-48.0,16.0,-41.0,-19.0,37.0,-50.0,-36.0,12.0
29.264,8.256,10.588,0.703,-34.0,-9.0,22.0,-58.0,-45.0,15.0,-41.0,-14.0,-15.0,-53.0,-37.0,15.0
27.044,4.783,5.946,0.502,-37.0,-7.0,13.0,-60.0,-47.0,17.0,-28.0,18.0,25.0,-44.0,-38.0,10.0
25.393,5.58,5.72,0.176,-40.0,-9.0,2.0,-60.0,-44.0,17.0,-82.0,-85.0,6.0,-74.0,-81.0,28.0
19.073,5.352,6.774,0.326,-43.0,-9.0,5.0,-53.0,-16.0,11.0,-56.0,-19.0,25.0,-50.0,-28.0,8.0
11.33,3.928,7.978,0.351,-45.0,-13.0,53.0,-46.0,-15.0,7.0,-66.0,-43.0,-1.0,-57.0,-21.0,6.0
18.048,1.48,7.853,0.502,-20.0,-9.0,58.0,-58.0,-52.0,16.0,-29.0,-18.0,5.0,-49.0,-34.0,12.0
13.209,4.953,10.663,0.452,-30.0,-7.0,123.0,-61.0,-70.0,21.0,-35.0,-17.0,-17.0,-52.0,-34.0,14.0
25.905,2.05,7.753,0.427,-27.0,-6.0,74.0,-52.0,-40.0,13.0,-35.0,-17.0,-16.0,-51.0,-34.0,14.0
18.162,4.783,7.703,0.552,-30.0,-3.0,69.0,-55.0,-43.0,15.0,-32.0,-11.0,16.0,-46.0,-32.0,12.0
16.454,4.042,8.004,0.527,-31.0,0.0,86.0,-51.0,-39.0,13.0,-30.0,-6.0,35.0,-44.0,-31.0,11.0
13.949,3.644,7.151,0.226,-35.0,2.0,92.0,-39.0,-8.0,6.0,-37.0,-11.0,79.0,-32.0,-10.0,2.0
9.166,1.025,8.656,0.376,-47.0,-11.0,11.0,-47.0,-1.0,5.0,-44.0,-4.0,82.0,-34.0,-6.0,1.0
11.159,0.911,8.28,0.276,-29.0,-9.0,10.0,-57.0,-40.0,15.0,-29.0,-16.0,-14.0,-48.0,-31.0,12.0
12.924,3.074,14.928,0.703,-27.0,-2.0,33.0,-55.0,-39.0,15.0,-30.0,-11.0,-8.0,-47.0,-31.0,13.0
15.372,2.961,7.1,0.552,-30.0,-6.0,28.0,-54.0,-37.0,13.0,-30.0,-13.0,2.0,-46.0,-30.0,12.0
11.387,1.594,10.312,0.552,-32.0,-4.0,27.0,-55.0,-38.0,14.0,-29.0,-10.0,3.0,-46.0,-30.0,11.0
10.761,3.018,10.061,0.602,-32.0,-3.0,48.0,-51.0,-35.0,13.0,-30.0,-6.0,9.0,-45.0,-29.0,11.0
7.174,1.537,6.047,0.201,-36.0,-5.0,39.0,-46.0,-6.0,8.0,-35.0,-11.0,37.0,-36.0,-8.0,4.0
8.312,0.569,6.824,0.251,-37.0,-6.0,86.0,-40.0,-3.0,5.0,-46.0,-12.0,52.0,-37.0,-3.0,3.0
6.149,0.797,8.932,0.276,-21.0,-6.0,64.0,-52.0,-38.0,13.0,-19.0,-12.0,17.0,-43.0,-27.0,10.0
11.273,1.196,9.609,0.301,-19.0,3.0,90.0,-51.0,-37.0,13.0,-22.0,-11.0,17.0,-43.0,-27.0,11.0
14.404,1.879,11.817,0.351,-11.0,15.0,134.0,-44.0,-35.0,9.0,-17.0,-7.0,43.0,-39.0,-27.0,9.0
10.704,1.537,10.136,0.251,-35.0,-13.0,246.0,-53.0,-78.0,19.0,-16.0,-4.0,47.0,-38.0,-27.0,9.0
10.02,0.74,11.943,0.251,-22.0,3.0,86.0,-54.0,-54.0,16.0,-20.0,-3.0,41.0,-39.0,-26.0,9.0
9.793,1.309,7.828,0.276,-32.0,-4.0,67.0,-43.0,-2.0,7.0,-28.0,-9.0,24.0,-36.0,-3.0,4.0
11.899,0.626,9.91,0.075,-45.0,-12.0,7.0,-51.0,-5.0,6.0,-41.0,-19.0,17.0,-39.0,-1.0,3.0
7.572,0.455,7.652,0.276,-14.0,-2.0,75.0,-49.0,-38.0,12.0,-15.0,-5.0,-4.0,-42.0,-26.0,10.0
10.818,1.48,11.115,0.427,-13.0,5.0,114.0,-47.0,-36.0,11.0,-14.0,1.0,23.0,-36.0,-23.0,8.0
10.362,0.854,10.011,0.1,-16.0,1.0,96.0,-46.0,-34.0,10.0,-17.0,-9.0,53.0,-36.0,-24.0,8.0
10.02,1.822,8.832,0.251,-20.0,3.0,74.0,-49.0,-35.0,12.0,-17.0,-4.0,27.0,-38.0,-24.0,9.0
7.458,1.594,8.28,0.326,-22.0,4.0,122.0,-44.0,-32.0,10.0,-16.0,-1.0,34.0,-36.0,-23.0,8.0
10.533,1.139,10.437,0.251,-28.0,5.0,129.0,-33.0,10.0,4.0,-22.0,-7.0,30.0,-32.0,2.0,3.0
5.864,0.285,5.394,0.075,-43.0,-16.0,154.0,-31.0,6.0,2.0,-34.0,-15.0,42.0,-35.0,5.0,2.0
5.807,0.342,9.509,0.251,-2.0,-16.0,248.0,-52.0,-76.0,16.0,4.0,1.0,77.0,-29.0,-21.0,5.0
4.896,0.285,5.771,0.452,-7.0,9.0,153.0,-44.0,-34.0,9.0,-15.0,-7.0,50.0,-34.0,-21.0,8.0
11.899,0.569,7.326,0.577,-11.0,0.0,102.0,-44.0,-31.0,9.0,-12.0,-6.0,58.0,-33.0,-21.0,7.0
11.956,0.74,9.057,0.05,-23.0,-3.0,12.0,-53.0,-34.0,12.0,-12.0,-3.0,74.0,-30.0,-20.0,6.0
10.419,0.854,9.082,0.502,-25.0,-5.0,14.0,-50.0,-30.0,11.0,-18.0,-2.0,5.0,-36.0,-22.0,8.0
13.607,0.342,14.452,0.401,-23.0,-3.0,21.0,-43.0,8.0,6.0,-18.0,-5.0,96.0,-21.0,7.0,-1.0
9.394,0.114,14.427,0.1,-25.0,-7.0,27.0,-45.0,6.0,5.0,-19.0,-1.0,73.0,-27.0,11.0,0.0
9.337,0.171,15.029,0.226,-11.0,-4.0,53.0,-48.0,-34.0,11.0,-10.0,-6.0,24.0,-35.0,-22.0,6.0
10.476,0.854,10.036,0.427,-8.0,3.0,83.0,-47.0,-33.0,10.0,-7.0,0.0,52.0,-30.0,-21.0,6.0
9.337,0.626,7.075,0.577,-10.0,-1.0,88.0,-45.0,-31.0,9.0,8.0,31.0,64.0,-21.0,-23.0,2.0
11.956,0.114,9.007,0.226,-12.0,1.0,61.0,-48.0,-33.0,11.0,-48.0,-75.0,218.0,-51.0,-77.0,17.0
10.191,0.512,9.434,0.176,-11.0,-1.0,129.0,-40.0,-29.0,8.0,0.0,9.0,149.0,-35.0,-47.0,8.0
8.142,0.228,11.039,0.376,-17.0,-3.0,126.0,-31.0,13.0,3.0,-17.0,-7.0,158.0,-23.0,2.0,-2.0
9.394,0.114,9.409,0.251,-20.0,-5.0,71.0,-38.0,11.0,3.0,-2.0,5.0,125.0,-10.0,15.0,-5.0
7.914,0.342,9.935,0.226,-5.0,-1.0,99.0,-45.0,-33.0,9.0,-2.0,1.0,65.0,-27.0,-20.0,4.0
