new_cases_per_million_nl,new_deaths_per_million_nl,new_cases_per_million_pl,new_deaths_per_million_pl,NL_retail_and_recreation,NL_grocery_and_pharmacy,NL_parks,NL_transit,NL_workplaces,NL_residential,PL_retail_and_recreation,PL_grocery_and_pharmacy,PL_parks,PL_transit,PL_workplaces,PL_residential
105.557,0.114,25.14,0.301,-10.0,-8.0,132.0,-25.0,2.0,0.0,-3.0,-3.0,125.0,-5.0,-2.0,-4.0
126.224,0.228,22.832,0.276,3.0,-4.0,150.0,-18.0,7.0,-1.0,14.0,13.0,129.0,2.0,2.0,-5.0
128.217,0.114,18.767,0.125,0.0,-3.0,123.0,-33.0,-27.0,5.0,0.0,2.0,77.0,-11.0,-13.0,-1.0
134.366,0.569,17.839,0.452,2.0,1.0,137.0,-33.0,-26.0,5.0,-4.0,2.0,94.0,-9.0,-12.0,0.0
146.094,0.342,24.437,0.703,-8.0,-2.0,66.0,-35.0,-23.0,6.0,-4.0,2.0,84.0,-9.0,-10.0,0.0
158.221,0.968,28.502,0.627,-12.0,-3.0,35.0,-38.0,-25.0,7.0,-5.0,3.0,76.0,-10.0,-10.0,0.0
154.976,0.911,39.817,0.577,-12.0,-4.0,40.0,-35.0,-23.0,6.0,-7.0,3.0,40.0,-11.0,-10.0,1.0
170.861,2.164,39.742,0.803,-12.0,-4.0,43.0,-31.0,2.0,2.0,-9.0,-4.0,35.0,-14.0,-4.0,0.0
166.534,0.455,33.871,0.201,-11.0,-5.0,36.0,-32.0,5.0,2.0,-19.0,-22.0,7.0,-18.0,-5.0,1.0
171.487,0.342,32.767,0.376,-12.0,-6.0,22.0,-39.0,-24.0,7.0,-6.0,0.0,27.0,-12.0,-8.0,2.0
188.34,0.74,33.269,0.903,-7.0,2.0,60.0,-39.0,-25.0,8.0,-7.0,2.0,31.0,-12.0,-8.0,2.0
185.607,0.74,38.939,0.753,-10.0,-2.0,50.0,-39.0,-26.0,7.0,-3.0,3.0,23.0,-10.0,-9.0,1.0
217.832,0.74,49.351,0.753,-21.0,-7.0,1.0,-44.0,-27.0,10.0,-8.0,3.0,19.0,-12.0,-8.0,1.0
226.201,0.512,57.505,0.677,-15.0,-2.0,46.0,-38.0,-23.0,7.0,-7.0,4.0,29.0,-10.0,-7.0,0.0
228.137,1.196,59.387,0.853,-23.0,-8.0,10.0,-39.0,-2.0,6.0,-6.0,-3.0,92.0,-4.0,-3.0,-2.0
260.76,0.285,48.523,0.652,-19.0,-6.0,31.0,-37.0,1.0,4.0,-8.0,-12.0,52.0,-5.0,-4.0,-1.0
258.198,0.0,50.33,0.728,-18.0,-9.0,13.0,-42.0,-29.0,9.0,-9.0,-1.0,21.0,-11.0,-9.0,1.0
284.217,1.594,56.1,1.455,-16.0,-3.0,25.0,-43.0,-29.0,10.0,-9.0,2.0,42.0,-11.0,-9.0,1.0
331.986,2.05,75.344,1.882,-16.0,-5.0,28.0,-41.0,-26.0,8.0,-8.0,1.0,33.0,-12.0,-8.0,1.0
340.013,0.74,107.384,1.882,-26.0,-12.0,-10.0,-46.0,-28.0,11.0,-9.0,4.0,32.0,-13.0,-8.0,2.0
370.246,0.74,118.9,1.305,-17.0,-4.0,41.0,-39.0,-24.0,8.0,-6.0,7.0,35.0,-12.0,-8.0,1.0
363.072,1.309,132.975,1.33,-24.0,-10.0,11.0,-41.0,-2.0,6.0,-14.0,-4.0,40.0,-15.0,-3.0,1.0
389.888,0.968,104.824,0.803,-24.0,-10.0,24.0,-40.0,0.0,4.0,-22.0,-16.0,27.0,-18.0,-5.0,2.0
420.063,0.683,110.244,0.878,-11.0,-6.0,51.0,-44.0,-33.0,9.0,-14.0,-3.0,-5.0,-21.0,-11.0,4.0
415.395,1.993,127.154,1.556,-8.0,0.0,64.0,-45.0,-33.0,10.0,-16.0,-3.0,-6.0,-22.0,-12.0,6.0
444.147,1.822,163.735,2.91,-13.0,-6.0,51.0,-45.0,-31.0,9.0,-13.0,-3.0,-11.0,-29.0,-24.0,8.0
455.021,1.651,203.201,2.283,-29.0,-5.0,31.0,-50.0,-34.0,12.0,-15.0,1.0,4.0,-20.0,-12.0,5.0
462.48,0.911,193.315,3.312,-29.0,-4.0,55.0,-45.0,-32.0,10.0,-15.0,4.0,-7.0,-23.0,-12.0,5.0
466.009,1.651,241.412,2.108,-35.0,-7.0,44.0,-43.0,-8.0,7.0,-25.0,-10.0,-4.0,-30.0,-8.0,5.0
455.249,0.797,214.165,1.229,-39.0,-11.0,51.0,-43.0,-8.0,5.0,-41.0,-30.0,-10.0,-33.0,-13.0,6.0
465.042,0.968,187.72,1.029,-20.0,-7.0,61.0,-49.0,-40.0,11.0,-19.0,-6.0,-2.0,-31.0,-19.0,7.0
497.779,2.619,233.108,2.685,-20.0,-1.0,49.0,-50.0,-39.0,12.0,-20.0,-5.0,14.0,-30.0,-19.0,8.0
528.581,3.359,251.9,3.262,-26.0,-8.0,31.0,-49.0,-37.0,11.0,-21.0,-5.0,4.0,-30.0,-19.0,8.0
569.118,2.619,303.76,4.215,-24.0,-3.0,49.0,-49.0,-38.0,12.0,-19.0,-1.0,40.0,-27.0,-20.0,7.0
492.94,2.562,342.021,3.839,-25.0,-2.0,55.0,-45.0,-35.0,10.0,-21.0,2.0,13.0,-28.0,-19.0,7.0
581.074,3.131,341.921,4.491,-33.0,-5.0,27.0,-43.0,-7.0,7.0,-34.0,-9.0,24.0,-30.0,-9.0,5.0
589.102,1.537,294.602,2.183,-39.0,-9.0,5.0,-45.0,-6.0,6.0,-41.0,-15.0,52.0,-25.0,-13.0,4.0
586.255,1.48,256.943,1.129,-22.0,-6.0,17.0,-46.0,-29.0,10.0,-26.0,-6.0,16.0,-29.0,-28.0,9.0
461.455,3.985,408.961,3.312,-23.0,-1.0,14.0,-47.0,-29.0,11.0,-28.0,-4.0,16.0,-33.0,-28.0,10.0
585.117,3.416,472.186,5.871,-29.0,-7.0,-1.0,-46.0,-25.0,10.0,-24.0,-3.0,32.0,-28.0,-29.0,10.0
633.056,3.188,505.706,7.527,-32.0,-6.0,-10.0,-49.0,-27.0,12.0,-28.0,-2.0,-2.0,-36.0,-29.0,10.0
559.154,4.953,542.663,5.068,-31.0,-4.0,2.0,-45.0,-24.0,10.0,-30.0,1.0,-4.0,-33.0,-28.0,10.0
494.591,2.847,549.387,7.025,-32.0,-5.0,33.0,-41.0,-5.0,7.0,-37.0,-10.0,3.0,-37.0,-14.0,7.0
472.045,2.22,430.814,3.814,-42.0,-12.0,5.0,-47.0,-7.0,6.0,-60.0,-42.0,6.0,-45.0,-26.0,7.0
441.585,1.651,390.846,2.308,-27.0,-11.0,2.0,-47.0,-28.0,11.0,-32.0,-14.0,-16.0,-41.0,-32.0,12.0
435.436,6.434,485.835,5.695,-24.0,-3.0,22.0,-47.0,-28.0,11.0,-30.0,-8.0,2.0,-38.0,-30.0,11.0
397.176,6.035,619.513,9.358,-25.0,-5.0,34.0,-45.0,-26.0,10.0,-28.0,-8.0,-14.0,-41.0,-30.0,12.0
412.719,5.01,681.007,9.208,-32.0,-5.0,10.0,-50.0,-28.0,12.0,-21.0,-2.0,-4.0,-38.0,-29.0,11.0
379.811,6.718,679.577,11.165,-31.0,-4.0,27.0,-46.0,-24.0,11.0,-22.0,0.0,-17.0,-38.0,-28.0,11.0
322.99,4.156,699.373,8.756,-33.0,-5.0,47.0,-43.0,-7.0,7.0,-45.0,-13.0,6.0,-40.0,-11.0,7.0
266.682,2.505,621.846,5.921,-38.0,-7.0,57.0,-43.0,-7.0,5.0,-49.0,-25.0,28.0,-37.0,-15.0,6.0
266.055,2.22,544.771,4.341,-25.0,-8.0,27.0,-47.0,-28.0,11.0,-35.0,-11.0,-15.0,-44.0,-31.0,12.0
308.528,5.58,638.631,8.28,-24.0,0.0,30.0,-47.0,-28.0,11.0,-25.0,18.0,-4.0,-39.0,-32.0,11.0
320.883,4.213,632.785,10.789,-26.0,-2.0,21.0,-45.0,-25.0,10.0,-71.0,-80.0,28.0,-64.0,-81.0,27.0
347.016,5.067,569.108,6.9,-33.0,-7.0,-6.0,-49.0,-27.0,12.0,-32.0,-2.0,-9.0,-43.0,-33.0,13.0
337.223,3.131,603.43,10.513,-32.0,-3.0,5.0,-46.0,-23.0,11.0,-35.0,-1.0,-12.0,-43.0,-31.0,13.0
308.187,4.839,641.566,13.699,-35.0,-4.0,7.0,-47.0,-7.0,8.0,-40.0,-9.0,10.0,-39.0,-9.0,7.0
275.563,2.448,548.308,7.602,-48.0,-15.0,-16.0,-51.0,-11.0,7.0,-45.0,-23.0,46.0,-33.0,-14.0,5.0
245.274,2.505,522.265,3.588,-29.0,-10.0,-7.0,-48.0,-27.0,11.0,-34.0,-11.0,-16.0,-42.0,-29.0,12.0
263.265,4.896,480.516,8.957,-26.0,-2.0,12.0,-48.0,-27.0,11.0,-34.0,-8.0,-3.0,-41.0,-29.0,12.0
321.965,4.669,498.857,15.129,-24.0,-2.0,43.0,-44.0,-24.0,9.0,-33.0,-8.0,-1.0,-40.0,-29.0,12.0
338.305,4.156,601.523,15.982,-33.0,-8.0,-16.0,-50.0,-26.0,12.0,-34.0,-7.0,-8.0,-41.0,-29.0,12.0
346.162,2.961,563.613,15.706,-27.0,0.0,7.0,-44.0,-22.0,10.0,-35.0,-2.0,-19.0,-41.0,-27.0,12.0
307.504,2.733,607.495,14.401,-32.0,-4.0,-9.0,-46.0,-6.0,7.0,-40.0,-9.0,-7.0,-39.0,-9.0,7.0
294.978,1.196,448.0,8.28,-35.0,-7.0,18.0,-44.0,-6.0,5.0,-56.0,-36.0,-17.0,-43.0,-16.0,7.0
223.81,3.074,376.394,3.914,-20.0,-6.0,16.0,-46.0,-26.0,10.0,-34.0,-12.0,-24.0,-43.0,-28.0,11.0
279.947,5.124,821.258,13.548,-19.0,3.0,16.0,-47.0,-26.0,10.0,-33.0,-9.0,-7.0,-41.0,-28.0,12.0
255.408,4.213,385.276,16.91,-19.0,0.0,17.0,-45.0,-22.0,9.0,-30.0,-8.0,-9.0,-41.0,-27.0,11.0
327.26,4.27,418.746,14.552,-26.0,-3.0,-13.0,-48.0,-25.0,11.0,-31.0,-6.0,-15.0,-41.0,-27.0,11.0
254.554,4.726,434.151,14.527,-22.0,1.0,2.0,-43.0,-21.0,9.0,-32.0,-3.0,-24.0,-41.0,-25.0,11.0
318.492,3.359,380.785,15.029,-28.0,-2.0,2.0,-44.0,-4.0,7.0,-25.0,-6.0,-11.0,-32.0,-4.0,5.0
260.077,1.309,288.079,7.1,-33.0,-7.0,12.0,-45.0,-3.0,5.0,-55.0,-35.0,-22.0,-42.0,-14.0,7.0
230.528,1.537,143.914,3.036,-24.0,-10.0,-19.0,-48.0,-26.0,11.0,-19.0,-7.0,-22.0,-38.0,-25.0,10.0
280.346,3.53,228.642,11.265,-20.0,0.0,0.0,-46.0,-25.0,10.0,-22.0,-4.0,-14.0,-37.0,-25.0,11.0
319.346,3.758,346.814,15.28,-21.0,-1.0,2.0,-45.0,-22.0,9.0,-21.0,-5.0,-21.0,-39.0,-25.0,11.0
336.313,3.473,372.907,15.556,-28.0,-4.0,-24.0,-49.0,-24.0,11.0,-22.0,-2.0,-16.0,-37.0,-25.0,10.0
372.124,3.359,332.086,13.323,-26.0,2.0,-7.0,-44.0,-20.0,10.0,-22.0,2.0,-20.0,-36.0,-23.0,10.0
387.041,2.22,311.789,12.595,-34.0,-4.0,-8.0,-46.0,-2.0,7.0,-24.0,-4.0,7.0,-29.0,-3.0,5.0
402.357,1.423,230.222,5.72,-41.0,-12.0,-11.0,-47.0,-5.0,5.0,2.0,113.0,6.0,-25.0,3.0,3.0
350.831,0.968,110.921,2.308,-26.0,-11.0,-22.0,-47.0,-26.0,10.0,-25.0,-14.0,-21.0,-39.0,-25.0,10.0
372.011,4.042,208.495,10.312,-22.0,-1.0,5.0,-47.0,-24.0,10.0,-25.0,-8.0,-16.0,-39.0,-24.0,11.0
497.836,3.758,305.24,14.251,-26.0,-6.0,-9.0,-47.0,-22.0,10.0,-23.0,-7.0,-18.0,-39.0,-24.0,10.0
504.099,3.473,344.982,11.792,-29.0,-5.0,-12.0,-48.0,-24.0,11.0,-22.0,-2.0,-11.0,-35.0,-24.0,10.0
518.332,3.644,328.799,13.649,-32.0,-7.0,-18.0,-46.0,-21.0,10.0,-24.0,0.0,-18.0,-35.0,-23.0,10.0
563.14,3.018,288.505,12.595,-34.0,-5.0,-17.0,-46.0,-4.0,8.0,-26.0,-6.0,-5.0,-29.0,-3.0,5.0
481.496,1.651,225.204,4.717,-37.0,-7.0,4.0,-45.0,-4.0,6.0,3.0,120.0,-9.0,-26.0,2.0,4.0
378.615,1.936,122.839,2.409,8.0,15.0,-7.0,-44.0,-25.0,9.0,-20.0,-9.0,-14.0,-36.0,-24.0,9.0
637.041,4.896,172.466,8.756,-48.0,-5.0,-3.0,-52.0,-29.0,13.0,-19.0,-1.0,-8.0,-34.0,-24.0,10.0
727.965,4.441,312.491,15.179,-49.0,-7.0,13.0,-56.0,-36.0,14.0,-17.0,1.0,-6.0,-33.0,-24.0,9.0
680.311,4.27,299.896,10.814,-52.0,-7.0,-10.0,-59.0,-39.0,16.0,-15.0,6.0,-4.0,-31.0,-24.0,9.0
696.765,4.783,276.237,10.688,-50.0,-5.0,11.0,-55.0,-37.0,14.0,-18.0,5.0,-10.0,-30.0,-22.0,9.0
742.427,3.074,282.158,12.118,-59.0,-9.0,-7.0,-53.0,-13.0,10.0,-22.0,-2.0,-3.0,-22.0,-2.0,5.0
636.13,1.822,215.52,3.588,-58.0,-10.0,17.0,-51.0,-10.0,7.0,15.0,160.0,-5.0,-20.0,8.0,4.0
559.098,1.594,116.24,1.932,-44.0,1.0,-22.0,-62.0,-51.0,16.0,-4.0,10.0,-7.0,-30.0,-27.0,8.0
592.803,6.491,180.444,7.753,-36.0,22.0,18.0,-60.0,-51.0,16.0,-4.0,21.0,-12.0,-31.0,-30.0,9.0
655.146,5.921,310.057,11.842,-40.0,20.0,-19.0,-60.0,-50.0,16.0,5.0,37.0,2.0,-29.0,-38.0,10.0
654.861,5.067,329.05,12.47,-43.0,18.0,-13.0,-62.0,-60.0,18.0,-51.0,-25.0,-23.0,-59.0,-74.0,18.0
561.147,5.58,227.839,6.022,-82.0,-75.0,7.0,-75.0,-83.0,22.0,-88.0,-88.0,-12.0,-76.0,-86.0,25.0
516.966,2.619,122.387,1.731,-83.0,-63.0,-28.0,-66.0,-40.0,10.0,-83.0,-86.0,7.0,-62.0,-56.0,10.0
422.17,1.594,96.394,1.43,-72.0,-33.0,-59.0,-63.0,-20.0,8.0,-56.0,-37.0,12.0,-40.0,-19.0,5.0
428.148,2.562,80.563,0.728,-41.0,1.0,34.0,-62.0,-62.0,18.0,-28.0,-10.0,-3.0,-45.0,-42.0,14.0
535.754,9.679,191.283,7.703,-43.0,6.0,20.0,-64.0,-62.0,19.0,-27.0,0.0,7.0,-44.0,-40.0,14.0
551.81,6.377,320.645,14.176,-41.0,13.0,15.0,-61.0,-59.0,17.0,-18.0,24.0,7.0,-40.0,-40.0,12.0
467.148,6.149,337.806,13.423,-45.0,13.0,7.0,-63.0,-66.0,18.0,-39.0,15.0,2.0,-52.0,-58.0,17.0
489.808,5.523,273.376,10.086,-79.0,-77.0,5.0,-75.0,-83.0,24.0,-85.0,-89.0,-8.0,-76.0,-87.0,27.0
421.43,2.05,175.778,2.559,-65.0,-17.0,0.0,-59.0,-22.0,12.0,-48.0,-21.0,8.0,-50.0,-29.0,10.0
373.662,2.676,145.068,1.53,-62.0,-19.0,3.0,-56.0,-12.0,8.0,-58.0,-42.0,-5.0,-43.0,-14.0,8.0
361.022,3.587,110.018,1.054,-52.0,-12.0,-23.0,-62.0,-41.0,16.0,-28.0,-5.0,-8.0,-42.0,-31.0,12.0
406.399,10.647,190.581,8.556,-52.0,-8.0,-8.0,-61.0,-41.0,16.0,-26.0,13.0,-17.0,-42.0,-32.0,11.0
548.565,7.8,356.774,13.875,-53.0,-9.0,-2.0,-58.0,-37.0,15.0,-75.0,-82.0,21.0,-67.0,-81.0,28.0
463.618,4.839,304.061,4.667,-58.0,-15.0,-32.0,-62.0,-39.0,17.0,-28.0,-1.0,-6.0,-41.0,-29.0,11.0
418.128,4.953,219.86,8.355,-55.0,-9.0,0.0,-57.0,-35.0,15.0,-31.0,-2.0,-9.0,-42.0,-27.0,11.0
376.451,7.743,269.563,10.964,-59.0,-9.0,19.0,-52.0,-12.0,10.0,-38.0,-9.0,-3.0,-41.0,-8.0,7.0
308.415,3.074,229.143,4.466,-60.0,-14.0,23.0,-52.0,-9.0,7.0,-54.0,-30.0,7.0,-40.0,-7.0,6.0
278.524,2.847,122.011,1.882,-51.0,-13.0,-14.0,-59.0,-38.0,15.0,-26.0,-7.0,-8.0,-39.0,-25.0,9.0
347.301,8.654,135.333,8.254,-50.0,-7.0,8.0,-58.0,-38.0,15.0,-31.0,-9.0,-4.0,-41.0,-25.0,10.0
369.164,6.946,228.968,12.068,-53.0,-11.0,7.0,-56.0,-35.0,13.0,-32.0,-11.0,6.0,-40.0,-26.0,9.0
343.372,5.067,237.272,9.584,-56.0,-13.0,-11.0,-60.0,-38.0,15.0,-33.0,-9.0,4.0,-40.0,-27.0,9.0
300.159,5.352,199.663,9.735,-56.0,-12.0,-7.0,-57.0,-36.0,14.0,-37.0,-10.0,-12.0,-43.0,-27.0,9.0
318.72,5.523,182.953,9.258,-63.0,-14.0,-8.0,-57.0,-15.0,10.0,-45.0,-17.0,-1.0,-44.0,-12.0,6.0
271.521,2.334,149.785,3.563,-63.0,-20.0,4.0,-55.0,-13.0,7.0,-61.0,-41.0,1.0,-44.0,-10.0,5.0
243.965,2.847,83.599,1.305,-52.0,-16.0,-7.0,-58.0,-39.0,14.0,-37.0,-17.0,-26.0,-44.0,-27.0,10.0
315.304,6.035,122.688,7.301,-55.0,-17.0,-23.0,-60.0,-39.0,15.0,-38.0,-14.0,-17.0,-43.0,-26.0,11.0
330.221,4.896,174.197,11.115,-52.0,-10.0,0.0,-56.0,-36.0,13.0,-33.0,-10.0,-16.0,-41.0,-25.0,10.0
327.317,5.067,175.828,10.538,-56.0,-13.0,-13.0,-59.0,-38.0,15.0,-32.0,-5.0,-9.0,-39.0,-23.0,8.0
309.155,4.839,167.925,8.706,-53.0,-7.0,14.0,-54.0,-34.0,14.0,-35.0,-7.0,-15.0,-39.0,-22.0,9.0
278.467,5.01,161.351,8.656,-60.0,-10.0,6.0,-56.0,-14.0,11.0,-41.0,-13.0,-19.0,-41.0,-7.0,6.0
230.357,1.708,114.559,2.76,-59.0,-15.0,42.0,-52.0,-13.0,7.0,-59.0,-38.0,-23.0,-45.0,-8.0,6.0
223.297,2.22,67.09,0.953,-50.0,-13.0,14.0,-57.0,-38.0,14.0,-35.0,-15.0,-24.0,-42.0,-24.0,9.0
269.585,4.896,115.487,6.624,-51.0,-8.0,15.0,-58.0,-38.0,15.0,-36.0,-13.0,-17.0,-42.0,-24.0,10.0
267.536,3.872,170.358,9.76,-54.0,-13.0,-9.0,-58.0,-35.0,14.0,-34.0,-13.0,-15.0,-41.0,-24.0,10.0
248.519,4.726,179.466,9.76,-58.0,-16.0,-33.0,-61.0,-38.0,16.0,-34.0,-9.0,-14.0,-40.0,-23.0,9.0
239.011,3.188,154.176,8.455,-55.0,-10.0,-11.0,-57.0,-34.0,15.0,-35.0,-6.0,-19.0,-38.0,-21.0,9.0
211.0,4.953,147.125,7.577,-59.0,-9.0,-4.0,-57.0,-12.0,11.0,-42.0,-14.0,-6.0,-39.0,-7.0,6.0
181.507,2.22,118.197,2.459,-56.0,-13.0,53.0,-49.0,-10.0,6.0,-30.0,72.0,20.0,-33.0,4.0,4.0
203.712,1.537,62.824,1.054,-51.0,-15.0,-11.0,-58.0,-39.0,14.0,-26.0,-14.0,-20.0,-38.0,-23.0,9.0
229.332,4.726,108.538,6.373,-53.0,-10.0,-13.0,-59.0,-38.0,15.0,-27.0,-9.0,-16.0,-38.0,-23.0,9.0
239.524,3.473,170.634,10.563,-55.0,-15.0,-21.0,-58.0,-35.0,14.0,-27.0,-10.0,-20.0,-37.0,-23.0,9.0
246.698,3.701,162.957,11.215,-51.0,-5.0,15.0,-57.0,-36.0,14.0,-28.0,-8.0,-20.0,-38.0,-23.0,9.0
232.578,3.416,151.867,9.233,-50.0,0.0,7.0,-55.0,-32.0,14.0,-28.0,-1.0,-19.0,-36.0,-21.0,8.0
224.379,3.473,149.685,7.075,-58.0,-2.0,-16.0,-56.0,-9.0,10.0,-32.0,-10.0,-10.0,-35.0,-6.0,5.0
126.452,2.733,118.548,2.333,-74.0,-36.0,10.0,-67.0,-31.0,11.0,-63.0,-43.0,-38.0,-47.0,-11.0,7.0
99.863,1.423,60.993,1.129,-60.0,-26.0,-7.0,-67.0,-55.0,20.0,-36.0,-17.0,-28.0,-34.0,-25.0,10.0
182.02,4.726,100.333,5.72,-53.0,-7.0,26.0,-59.0,-46.0,17.0,-29.0,-6.0,-17.0,-35.0,-24.0,10.0
251.309,4.498,174.624,9.057,-52.0,-7.0,22.0,-55.0,-37.0,15.0,-25.0,-3.0,-18.0,-35.0,-23.0,9.0
247.893,4.099,175.953,11.441,-52.0,-6.0,35.0,-55.0,-38.0,16.0,-24.0,-3.0,-20.0,-34.0,-22.0,9.0
239.125,3.701,160.022,6.197,-51.0,-5.0,56.0,-51.0,-35.0,14.0,-29.0,-3.0,-24.0,-37.0,-22.0,9.0
196.424,3.758,165.215,7.151,-54.0,-4.0,110.0,-47.0,-12.0,9.0,-28.0,-3.0,-4.0,-33.0,-8.0,5.0
160.214,1.309,133.828,2.459,-52.0,-11.0,120.0,-43.0,-7.0,6.0,-43.0,-25.0,12.0,-34.0,-6.0,5.0
153.951,1.537,63.778,0.627,-56.0,-22.0,-34.0,-61.0,-48.0,18.0,-26.0,-8.0,-17.0,-37.0,-23.0,8.0
192.04,4.896,129.864,4.918,-46.0,2.0,8.0,-55.0,-38.0,14.0,-28.0,-5.0,-12.0,-36.0,-23.0,9.0
257.686,5.01,218.254,7.025,-47.0,-2.0,12.0,-53.0,-34.0,13.0,-32.0,-10.0,-22.0,-37.0,-22.0,9.0
269.414,4.099,227.663,6.875,-51.0,-6.0,-10.0,-56.0,-36.0,15.0,-27.0,-2.0,-9.0,-34.0,-22.0,8.0
260.248,2.79,220.086,6.047,-47.0,0.0,29.0,-51.0,-33.0,13.0,-29.0,0.0,-18.0,-35.0,-21.0,8.0
266.112,3.53,213.487,6.373,-49.0,-2.0,71.0,-42.0,-7.0,8.0,-28.0,-3.0,20.0,-27.0,-4.0,3.0
236.962,0.968,176.631,2.358,-39.0,-3.0,134.0,-31.0,-3.0,3.0,-38.0,-9.0,51.0,-23.0,-3.0,2.0
216.693,1.822,97.624,0.427,-38.0,-2.0,64.0,-51.0,-40.0,12.0,-22.0,-3.0,4.0,-32.0,-21.0,7.0
248.633,5.352,158.165,6.222,-36.0,6.0,88.0,-51.0,-39.0,12.0,-24.0,-3.0,9.0,-33.0,-21.0,7.0
285.47,3.587,304.763,9.333,-35.0,2.0,120.0,-45.0,-36.0,10.0,-20.0,-1.0,26.0,-29.0,-20.0,7.0
291.163,1.822,304.663,7.176,-42.0,2.0,57.0,-52.0,-38.0,13.0,-18.0,3.0,41.0,-27.0,-20.0,6.0
281.2,3.701,289.434,6.498,-43.0,1.0,61.0,-49.0,-35.0,12.0,-23.0,4.0,-2.0,-31.0,-19.0,7.0
265.941,2.277,303.509,7.602,-49.0,-1.0,51.0,-44.0,-4.0,8.0,-24.0,-1.0,13.0,-27.0,-2.0,3.0
214.302,1.139,253.43,2.835,-45.0,-3.0,79.0,-38.0,-1.0,4.0,-43.0,-12.0,12.0,-29.0,-3.0,3.0
226.827,1.196,120.079,0.602,-41.0,-5.0,28.0,-51.0,-33.0,12.0,-23.0,-3.0,-11.0,-34.0,-20.0,7.0
284.559,3.701,199.111,5.394,-38.0,3.0,71.0,-49.0,-32.0,12.0,-22.0,-1.0,15.0,-32.0,-20.0,7.0
234.457,2.733,393.857,8.832,-35.0,1.0,42.0,-47.0,-29.0,10.0,-20.0,0.0,21.0,-30.0,-20.0,6.0
265.884,1.879,382.692,7.251,-43.0,-3.0,-6.0,-53.0,-32.0,13.0,-24.0,1.0,-8.0,-33.0,-20.0,7.0
303.86,1.822,397.194,6.599,-40.0,2.0,34.0,-47.0,-27.0,11.0,-26.0,3.0,-14.0,-33.0,-19.0,7.0
257.857,2.334,372.706,6.197,-45.0,1.0,35.0,-45.0,-1.0,8.0,-25.0,0.0,10.0,-29.0,-2.0,3.0
218.287,1.708,340.441,3.161,-50.0,-4.0,41.0,-44.0,-1.0,5.0,-48.0,-20.0,-16.0,-36.0,-5.0,4.0
244.648,1.594,154.778,0.803,-36.0,-3.0,20.0,-49.0,-32.0,11.0,-15.0,12.0,-9.0,-31.0,-20.0,6.0
300.273,3.188,249.717,7.075,-38.0,1.0,18.0,-50.0,-32.0,12.0,-24.0,-1.0,-2.0,-34.0,-21.0,8.0
303.063,1.765,433.473,9.986,-40.0,-1.0,8.0,-49.0,-29.0,11.0,-19.0,4.0,4.0,-31.0,-20.0,7.0
343.145,2.847,529.667,9.434,-47.0,-8.0,-17.0,-52.0,-32.0,14.0,-25.0,0.0,-21.0,-35.0,-21.0,8.0
364.381,1.48,473.516,8.806,-45.0,-2.0,-4.0,-49.0,-27.0,12.0,-24.0,4.0,-14.0,-33.0,-20.0,8.0
340.127,1.253,528.462,8.631,-51.0,-4.0,-20.0,-52.0,-3.0,10.0,-26.0,-1.0,0.0,-29.0,-3.0,4.0
311.375,1.309,433.348,2.76,-52.0,-4.0,26.0,-45.0,0.0,6.0,-48.0,-17.0,-9.0,-34.0,-5.0,5.0
279.264,1.025,273.351,0.703,-38.0,-5.0,9.0,-49.0,-32.0,12.0,-23.0,-1.0,-6.0,-34.0,-21.0,7.0
337.451,1.822,361.14,9.333,-36.0,0.0,10.0,-50.0,-32.0,12.0,-25.0,-1.0,-4.0,-35.0,-21.0,8.0
349.009,2.619,628.57,11.391,-25.0,8.0,30.0,-42.0,-28.0,10.0,-23.0,1.0,-8.0,-34.0,-20.0,8.0
419.892,1.879,684.294,8.932,-42.0,-3.0,4.0,-51.0,-30.0,13.0,-20.0,5.0,-6.0,-33.0,-20.0,8.0
432.646,2.619,652.229,10.513,-38.0,2.0,50.0,-45.0,-26.0,11.0,-22.0,6.0,-16.0,-33.0,-19.0,8.0
396.663,0.911,663.771,8.832,-43.0,1.0,47.0,-43.0,1.0,7.0,-38.0,-4.0,-6.0,-37.0,-4.0,6.0
356.467,0.854,548.208,3.538,-48.0,-3.0,37.0,-45.0,1.0,5.0,-58.0,-29.0,-31.0,-43.0,-8.0,7.0
316.727,0.854,365.781,1.631,-34.0,-1.0,31.0,-48.0,-31.0,11.0,-29.0,-3.0,-6.0,-38.0,-23.0,9.0
431.735,2.79,420.0,9.935,-32.0,6.0,51.0,-48.0,-31.0,11.0,-32.0,-4.0,-3.0,-39.0,-24.0,10.0
438.852,1.822,772.81,14.527,-31.0,4.0,73.0,-43.0,-27.0,10.0,-27.0,0.0,-1.0,-37.0,-24.0,9.0
430.767,1.48,856.81,13.047,-37.0,3.0,34.0,-48.0,-30.0,12.0,-21.0,7.0,21.0,-34.0,-24.0,8.0
500.91,1.366,881.774,11.165,-36.0,4.0,51.0,-44.0,-26.0,11.0,-21.0,9.0,23.0,-33.0,-23.0,8.0
423.707,1.651,796.821,11.24,-44.0,0.0,22.0,-46.0,-1.0,8.0,-43.0,-8.0,18.0,-35.0,-5.0,6.0
382.486,0.854,734.272,3.287,-49.0,-7.0,31.0,-45.0,-1.0,6.0,-31.0,101.0,18.0,-33.0,5.0,4.0
